slug,city,water_name,use,water,magnitude,hex minus,scaled
aabach,Schmerikon,Zürichsee,See,l,1867613,3978059,0.4694784567046391
aabach,Schmerikon,Zürichsee,Siedl,l,999929,3978059,0.25136102807927185
aabach,Schmerikon,Zürichsee,Sumpf,l,535776,3978059,0.13468276865677456
aabach,Schmerikon,Zürichsee,Wald,l,1265264,3978059,0.3180606421372835
aare-limmatspitz,Gebenstorf,Aare,Siedl,r,1907378,5845672,0.3262889193919878
aare-limmatspitz,Gebenstorf,Aare,Wald,r,1423527,5845672,0.24351811049268587
aare-port,Port,Nidau-Büren-Kanal,Siedl,r,2661853,5845672,0.45535449132281114
aare-port,Port,Nidau-Büren-Kanal,Wald,r,1870024,5845672,0.3198988927192631
aare-solothurn-lido-strand,Solothurn,Aare,Siedl,r,1561316,5845672,0.26708922430132925
aare-solothurn-lido-strand,Solothurn,Aare,Wald,r,1572205,5845672,0.2689519699360484
aare_bern_caveltin,Muri bei Bern,Aare,Siedl,r,2637173,5845672,0.45113256439978155
aare_bern_caveltin,Muri bei Bern,Aare,Sumpf,r,74725,5845672,0.012782961479877763
aare_bern_caveltin,Muri bei Bern,Aare,Wald,r,1082375,5845672,0.1851583530516252
aare_bern_gerberm,Bern,Aare,Siedl,r,2624378,5845672,0.4489437655756259
aare_bern_gerberm,Bern,Aare,Wald,r,782002,5845672,0.1337745258372348
aare_bern_scheurerk,Bern,Aare,Siedl,r,3511904,5845672,0.6007699371432403
aare_bern_scheurerk,Bern,Aare,Wald,r,1364729,5845672,0.23345972883870322
aare_brugg_buchie,Brugg,Aare,Siedl,r,2596008,5845672,0.4440906024149148
aare_brugg_buchie,Brugg,Aare,Wald,r,1278119,5845672,0.21864363925995164
aare_elfenau_cataldiv,Bern,Aare,Siedl,r,3779098,5845672,0.6464779412871609
aare_elfenau_cataldiv,Bern,Aare,Wald,r,1100394,5845672,0.18824080447893757
aare_kehrsatz_stolten,Belp,Aare,Siedl,r,2299086,5845672,0.393297126489478
aare_kehrsatz_stolten,Belp,Aare,Sumpf,r,74725,5845672,0.012782961479877763
aare_kehrsatz_stolten,Belp,Aare,Wald,r,588321,5845672,0.10064215029512433
aare_koniz_hoppej,Köniz,Aare,See,r,11587,5845672,0.0019821502130122934
aare_koniz_hoppej,Köniz,Aare,Siedl,r,4397858,5845672,0.7523271918095986
aare_koniz_hoppej,Köniz,Aare,Stadtzentr,r,21044,5845672,0.003599928288826332
aare_koniz_hoppej,Köniz,Aare,Wald,r,919190,5845672,0.1572428285404997
aare_post,Port,Nidau-Büren-Kanal,Siedl,r,2665961,5845672,0.4560572334540836
aare_post,Port,Nidau-Büren-Kanal,Wald,r,1835917,5845672,0.3140643197223518
aare_rupperswil_badert,Rupperswil,Aare,Reben,r,12830,5845672,0.002194786159743482
aare_rupperswil_badert,Rupperswil,Aare,See,r,17927,5845672,0.00306671328805311
aare_rupperswil_badert,Rupperswil,Aare,Siedl,r,616088,5845672,0.10539216021699473
aare_rupperswil_badert,Rupperswil,Aare,Wald,r,3496100,5845672,0.5980663985252679
aare_solothurn_nguyena,Solothurn,Aare,Siedl,r,1823587,5845672,0.3119550669281479
aare_solothurn_nguyena,Solothurn,Aare,Stadtzentr,r,57357,5845672,0.009811874494497809
aare_solothurn_nguyena,Solothurn,Aare,Wald,r,1574382,5845672,0.26932438220960736
aare_suhrespitz_badert,Aarau,Aare,Siedl,r,3342522,5845672,0.5717943120996183
aare_suhrespitz_badert,Aarau,Aare,Wald,r,876407,5845672,0.14992408058474715
aarezufluss_bern_scheurerk,Bern,Aare,Siedl,r,3506898,5845672,0.5999135770874588
aarezufluss_bern_scheurerk,Bern,Aare,Wald,r,1358621,5845672,0.23241485324527275
anarchy-beach,La Tour-de-Peilz,Lac Léman,See,l,3756955,2088717,1.7986902964834393
anarchy-beach,La Tour-de-Peilz,Lac Léman,Siedl,l,2088269,2088717,0.9997855142654558
arabie,Vevey,Lac Léman,Reben,l,102778,2838114,0.036213485434341254
arabie,Vevey,Lac Léman,See,l,3007558,2838114,1.0597030281376998
arabie,Vevey,Lac Léman,Siedl,l,2723425,2838114,0.959589713450552
arve_carouge_battistellak,Veyrier,Arve,Siedl,r,4179418,5845672,0.7149593750727034
arve_carouge_battistellak,Veyrier,Arve,Wald,r,484392,5845672,0.08286335600081565
